Address,Wallet Total Value,Update Time,ETH Amount,ETH Value,Spot Value,Lido Value,DeFi Swap Value
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,5141983946.0,2024/02/01,1996008.3842,4.52B,5141983943,0,0
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,3821845315.0,2024/02/01,1598923.5688,3.62B,3821845315,0,0
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,3327408554.0,2024/02/01,648000000,2.58B,3327408554,0,0
0x5a52e96bacdabb82fd05763e25335261b270efcb,2542165165.0,2024/02/01,157049.9987,356658977,2542165165,0,0
0xd6216fc19db775df9774a6e33526131da7d19a2c,1854779975.0,2024/02/01,26418314.8893,244938899,1582049074,0,0
0xe92d1a43df510f82c66382592a047d288f85226f,1019432714.0,2024/02/01,450118.3274,1.02B,1019432714,0,0
0xcffad3200574698b78f32232aa9d63eabd290703,808307342.0,2024/02/01,1936269237.6329,153607560,808282462,24880,0
0x3bfc20f0b9afcace800d73d2191166ff16540258,693539008.0,2024/02/01,306276.6354,693538939,693539008,0,0
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,572018271.0,2024/02/01,250000.0229,566067552,572018271,0,0
0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f,566852566.0,2024/02/01,250000.0005,566852501,566852566,0,0
0x539c92186f7c6cc4cbf443f26ef84c595babbca1,566772588.0,2024/02/01,250000.0096,566772522,566772588,0,0
0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f,566772561.0,2024/02/01,250000.0019,566772504,566772561,0,0
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,564388218.0,2024/02/01,243300.0035,551074508,564388218,0,0
0x9845e1909dca337944a0272f1f9f7249833d2d19,554249261.0,2024/02/01,244671.4,554249229,554249261,0,0
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,552617032.0,2024/02/01,244001.0224,552598875,552617032,0,0
0x176f3dab24a159341c0509bb36b833e7fdd0a132,514174966.0,2024/02/01,4624.5002,10471811,31578045,413981850,0
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,423956886.0,2024/02/01,187068.1958,423947040,423956886,0,0
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,383186568.0,2024/02/01,169032.0033,383176958,383186568,0,0
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,377349928.0,2024/02/01,162034.3431,367265422,377349928,0,0
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,340206760.0,2024/02/01,150038.0659,340074780,340206751,0,0
0xfd898a0f677e97a9031654fc79a27cb5e31da34a,340033805.0,2024/02/01,150000.1003,340033727,340033773,0,0
0x701c484bfb40ac628afa487b6082f084b14af0bd,339990047.0,2024/02/01,150000.0011,339990002,339990047,0,0
0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,339927045.0,2024/02/01,150000.0002,339927000,339927045,0,0
0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,339892545.0,2024/02/01,150000,339892500,339892545,0,0
0xb8cda067fabedd1bb6c11c626862d7255a2414fe,339757548.0,2024/02/01,150000.0014,339757503,339757548,0,0
0xb20411c403687d1036e05c8a7310a0f218429503,339712545.0,2024/02/01,150000.0002,339712500,339712545,0,0
0xb9fa6e54025b4f0829d8e1b42e8b846914659632,339712545.0,2024/02/01,150000,339712500,339712545,0,0
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,339709649.0,2024/02/01,150000.0001,339709500,339709649,0,0
0xba18ded5e0d604a86428282964ae0bb249ceb9d0,339709545.0,2024/02/01,150000.0001,339709500,339709545,0,0
0x8d95842b0bca501446683be598e12f1c616770c1,323832255.0,2024/02/01,143012.057,323832212,323832255,0,0
0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,321250073.0,2024/02/01,141871.7033,321250029,321250073,0,0
0xb93d8596ac840816bd366dc0561e8140afd0d1cb,316335543.0,2024/02/01,139701.3293,316335499,316335543,0,0
0x0548f59fee79f8832c299e01dca5c76f034f558e,310233176.0,2024/02/01,117410.3283,265903867,310233176,0,0
0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,305998140.0,2024/02/01,135188.0262,305998097,305998140,0,0
0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,299779608.0,2024/02/01,132432.5378,299779590,299779608,0,0
0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,296256987.0,2024/02/01,130876.361,296256966,296256984,0,0
0x595faf77e533a5cd30ab5859c9a0116de8bad8db,292930954.0,2024/02/01,129392.1714,292930937,292930954,0,0
0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce,292897312.0,2024/02/01,129392.1714,292897295,292897312,0,0
0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,292889835.0,2024/02/01,129392.2713,292889758,292889835,0,0
0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,292889633.0,2024/02/01,129392.1714,292889531,292889633,0,0
0xf481b7fab9f5d0e74f21ae595a749634fb053619,292533434.0,2024/02/01,129231.4222,292533416,292533434,0,0
0x79f67f689b9925710d4dda2a39d680e9cea61c81,274816894.0,2024/02/01,121198.182,274816878,274816894,0,0
0x368d43c23843ca9b49dc861d80251bda6a090367,273704794.0,2024/02/01,120707.73,273704778,273704794,0,0
0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,273704751.0,2024/02/01,120707.7108,273704734,273704751,0,0
0xb4f4317b7885de16305d1303570879c21f378255,273655261.0,2024/02/01,120707.7108,273655244,273655261,0,0
0xf443864ba5d5361bbc54298551067194f980a635,273655261.0,2024/02/01,120707.7108,273655244,273655261,0,0
0x2d1566722288be5525b548a642c98b546f116aa0,273640776.0,2024/02/01,120707.7108,273640759,273640776,0,0
0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3,262630954.0,2024/02/01,116005.5136,262587761,262630954,0,0
0x376c3e5547c68bc26240d8dcc6729fff665a4448,260291886.0,2024/02/01,114939,260262125,260291886,0,0
0x0d0707963952f2fba59dd06f2b425ace40b492fe,258237850.0,2024/02/01,16875331.6073,16858203,258237850,0,0
0x1b8766d041567eed306940c587e21c06ab968663,252256266.0,2024/02/01,111377.3143,252256252,252256266,0,0
0x999e77c988c4c1451d3b1c104a6cca7813a9946e,250382034.0,2024/02/01,108796.6324,246651757,250372005,0,0
0xd9858d573a26bca124282afa21ca4f4a06eff98a,249679266.0,2024/02/01,110179.6695,249679251,249679266,0,0
0x4ed97d6470f5121a8e02498ea37a50987da0eec0,246099488.0,2024/02/01,108532.9173,246099475,246099488,0,0
0x084ef8564b4f75a70b7ad5e8aabf73edac005397,246023776.0,2024/02/01,108544.0448,246023761,246023776,0,0
0xcac9c634b4464efe71a9a5910edba06686baf457,245998554.0,2024/02/01,108532.9175,245998540,245998554,0,0
0x04b7f4195595d8132dd8249cc8dc7e79a6ae772b,245998554.0,2024/02/01,108532.9174,245998540,245998554,0,0
0xff2ac8c5834a7585fcc97edb8ba2431c4beab487,245998554.0,2024/02/01,108532.9173,245998540,245998554,0,0
0x6e414cfad874d8ee716ea0299d40011207c907b8,245265645.0,2024/02/01,108205.2664,245265631,245265645,0,0
0x19bf56fca395a600c20f732b05757f30ad24a719,245265645.0,2024/02/01,108205.2663,245265631,245265645,0,0
0xfcd159d0fef5b1003e10d91a5b79d52bbb8cd05d,244990730.0,2024/02/01,108054.4244,244990716,244990730,0,0
0xa463597d49f54fe6a811fb894cbd67c7f92852b0,244156009.0,2024/02/01,107686.2666,244155995,244156009,0,0
0x8ae880b5d35305da48b63ce3e52b22d17859f293,244078745.0,2024/02/01,107708.2445,244078730,244078745,0,0
0x5a710a3cdf2af218740384c52a10852d8870626a,242842971.0,2024/02/01,107141.1678,242842957,242842971,0,0
0xbed96d0840201011df1467379a5d311e0040073a,235144774.0,2024/02/01,103744.7595,235144760,235144774,0,0
0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc,231197963.0,2024/02/01,102002.9947,231197948,231197963,0,0
0x76ae5632ae65d95dd704218920f7d8ac4daef9cc,229835977.0,2024/02/01,101388.6188,229835832,229835977,0,0
0x67f706db3bbd04a250eed049386c5d09c4ee31f0,228450716.0,2024/02/01,100784.2476,228450677,228450716,0,0
0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9,227182619.0,2024/02/01,98134.7891,222516709,227182619,0,0
0x40f50e8352d64af0ddda6ad6c94b5774884687c3,226746284.0,2024/02/01,100000,226741000,226746284,0,0
0x469f1ea76d13d4b4ea20a233eac8ce6ac74d5087,226709015.0,2024/02/01,100000,226709000,226709015,0,0
0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb,223949195.0,2024/02/01,98770.4616,223949181,223949195,0,0
0x303c741bb15c9c4b1c72320f6df702b32da80519,223941293.0,2024/02/01,98770.4615,223941280,223941293,0,0
0xe93fc974908003faddf0bd972b05b6494368d3f5,223940327.0,2024/02/01,98770.4615,223940292,223940327,0,0
0x36b6751586614d647d8a3f495e82bdcf250914c8,223940306.0,2024/02/01,98770.4616,223940292,223940306,0,0
0x28140cb1ac771d4add91ee23788e50249c10263d,221381346.0,2024/02/01,97634.0635,221381334,221381346,0,0
0xf196c023de1f19d6529133759f449c4b01ce0f51,215218873.0,2024/02/01,94923.8117,215218860,215218873,0,0
0xcdbf58a9a9b54a2c43800c50c7192946de858321,211434301.0,2024/02/01,30081.5825,68143207,68143262,0,0
0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6,210943779.0,2024/02/01,93032.0963,210943766,210943779,0,0
0x0dbd8de20eed94a5693d57998827fcf68ed2ecf4,209737587.0,2024/02/01,92500.1144,209737534,209737587,0,0
0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461,203734540.0,2024/02/01,89854.9981,203734527,203734540,0,0
0x1bb762b16438f8b287626fd1042bc6f6848cc286,196053340.0,2024/02/01,86481.0157,196053327,196053340,0,0
0xad0d53cf033ab63dc72d653640766ee1d366cef6,194921549.0,2024/02/01,85968.1215,194921540,194921549,0,0
0xac08f21ef597a51865d69896f09b52472acde80d,194885442.0,2024/02/01,85968.1213,194885433,194885442,0,0
0x3f4ac8d3e1414b5351e632391908177c012c65cc,191880115.0,2024/02/01,84642.4075,191880106,191880115,0,0
0xb3764761e297d6f121e79c32a65829cd1ddb4d32,188165616.0,2024/02/01,83017.2093,188165146,188165616,0,0
0xb46427e2cddecb0bde40bf402361effddd4401e2,184603424.0,2024/02/01,81444.2583,184599112,184603424,0,0
0xc39cc669a548c661dfa6b5a1eeaa389d1ec53143,181347685.0,2024/02/01,80000.0004,181342401,181347685,0,0
0x918fa381cb534677bad24afb29cb3c2acaf16385,179846407.0,2024/02/01,79340.3816,179846397,179846407,0,0
0xd2b0b1daed605718080f861034d3241f1cfd89cb,179352361.0,2024/02/01,79122.4302,179352351,179352361,0,0
0xfdfeb7474b6b104f32599948bb7f8ed81b06def3,176209331.0,2024/02/01,77735.8519,176209297,176209331,0,0
0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,175158785.0,2024/02/01,77362.8307,175157959,175158785,0,0
0xca0a044400c1fa857e4cd0c95d86376b85659303,173762230.0,2024/02/01,76630.7235,173760165,173760200,0,0
0x10cad69cbd241d36ed8c6d83a9f30b380134d1bc,169406254.0,2024/02/01,74658.5598,169406245,169406254,0,0
0x0a8f6257ef3ed3efdd8dd18dd9294d3e333ad7fc,169405507.0,2024/02/01,74658.5599,169405498,169405507,0,0
0x6b2069bde6b87d0f882abbdc6eb4fcbd0a90bb96,169405507.0,2024/02/01,74658.5598,169405498,169405507,0,0
0xb3177d9873b7ac246874114d8760e66dc5e797cc,169405507.0,2024/02/01,74658.5598,169405498,169405507,0,0
0x7ced76dde9203a554df01cbb1ed0d17e9bce7524,169264402.0,2024/02/01,74658.5598,169264394,169264402,0,0
0x1b7b5b4bed048d86976d7cf51d9c4ea24e20ade7,169247231.0,2024/02/01,74658.5598,169247222,169247231,0,0
0x92f71d08f5ee94a7bf40fab05beda3545b55ad2a,169247231.0,2024/02/01,74658.5598,169247222,169247231,0,0
0x831c3720681096f276cb016b51a33433d7cb2faa,169247231.0,2024/02/01,74658.5598,169247222,169247231,0,0
