Address,Wallet Total Value,Update Time,ETH Amount,ETH Value,Spot Value,Lido Value,DeFi Swap Value
0x8ceb13994392684841849fca3d63761f1762cb66,1230535,2024/01/31,525.9764,1230532,1230535,0,0
0x84f16d036231309a989eb7c7429887014ee71efa,1178870,2024/01/31,21.6474,50655.13,55409,0,0
0x0f7d7c774b6a3576c3cb18b7fcc0469636940614,1175304,2024/01/31,124.0637,290111.83,292282,881607,0
0xdd5868ef6aaa6f9134d4d6c9ff4d1d89a773b135,1173924,2024/01/31,501.6748,1173924,1173924,0,0
0x05e556e625273aede851f614da3aedc5e0643896,1170874,2024/01/31,499.9974,1170874,1170874,0,0
0xb0c8c5d137aed8368abc18a215fa2638aecebdb8,1169514,2024/01/31,500.8548,1168589,1169514,0,0
0x4e1646cdc286c5302e63fe1b4c8bf9c67e4f0562,1167351,2024/01/31,499.0019,1166157,1167351,0,0
0xc792ef8354b5488246239b7d830d6077b840ebe4,1166744,2024/01/31,499.1492,1166726,1166744,0,0
0x37a0eca7c91caa594e006f720dcdb46eab55a1dd,1161517,2024/01/31,497.0802,1161498,1161517,0,0
0x7d0210341584acf728a7c9fdf5d97ba9d6ef925e,1133492,2024/01/31,484.3982,1133492,1133492,0,0
0xb7908fa2493899a37508f879e1acf300e8e953ee,1129424,2024/01/31,482.4469,1129408,1129424,0,0
0x441dca75fa1fa049cf62fa785a7556e38b427b87,1123582,2024/01/31,479.9577,1123533,1123582,0,0
0x6a3537fe44e3d7a43d2208870404711ee8cacfe6,1036551,2024/01/31,443.564,1036551,1036551,0,0
0xd506017c7083214d0e4fea5bf5229f3f907d9bda,1019035,2024/01/31,18.4097,43064.93,43084,0,0
0x22392303a9e8ec91d189f9d62abb890685751556,1007213,2024/01/31,430.5618,1007213,1007213,0,0
0x7c2f51ef68374318c198310a77e7f187cce46514,1002931,2024/01/31,428.7422,1002931,1002931,0,0
0x83fa1eff1b4a1ab22ab3d0fcec09539b85cc9827,1002284,2024/01/31,428.1599,1002284,1002284,0,0
0xc434ec91f3d56e490d2794aee2554bba2f1b0df2,1000929,2024/01/31,427.5426,1000929,1000929,0,0
0xce1b8ab666eacb7d4efece5815a31bd9ac8f3032,964334,2024/01/31,412.0777,964265.84,964334,0,0
0xfd092fed1569e9cb038e4185956d494f7cbd594d,960005,2024/01/31,495995.0513,495995.05,960005,0,0
0x447f146f52675614b94832c735ed91f4d69900ba,951935,2024/01/31,408.124,951883.92,951935,0,0
0x9104dacf915d2d5a10bdec8ebcd4fa8a9acaeea3,937066,2024/01/31,400.4006,937065.65,937066,0,0
0xc30b6c40fdbbf803d50bc414b3f2169b260435a1,929394,2024/01/31,398.4339,929331.17,929394,0,0
0x404460039499c774c48248552f802ce5dd482e32,928482,2024/01/31,163.6956,383178.76,928482,0,0
0x4dd1499f51243ee0d9bc8e8e3ae1984739d166ff,920892,2024/01/31,393.8179,919324.50,920892,0,0
0xafb6402eb9ef39dd62dd7152975955c1d775602e,883607,2024/01/31,377.4733,883589.39,883607,0,0
0x7df6409b10e1e8365e15b1c7ccd91d966bc334af,855543,2024/01/31,413614.6819,413614.68,855543,0,0
0xd2f9d8bef6c9b09ff89d2a80039ece3a9fab86f4,794060,2024/01/31,339.2495,794033.87,794060,0,0
0x08ba5905d7f163b6a1bdc1c9770f12ecfca2014f,785764,2024/01/31,336.6103,785698.88,785764,0,0
