Address,Wallet Total Value,Update Time,ETH Amount,ETH Value,Spot Value,Lido Value,DeFi Swap Value
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,5141983946.0,2024/02/01,1996008.3842,4.52B,5141983943,0,0
0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,3821845315.0,2024/02/01,1598923.5688,3.62B,3821845315,0,0
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,3327408554.0,2024/02/01,648000000,2.58B,3327408554,0,0
0x5a52e96bacdabb82fd05763e25335261b270efcb,2542165165.0,2024/02/01,157049.9987,356658977,2542165165,0,0
0xd6216fc19db775df9774a6e33526131da7d19a2c,1854779975.0,2024/02/01,26418314.8893,244938899,1582049074,0,0
0xe92d1a43df510f82c66382592a047d288f85226f,1019432714.0,2024/02/01,450118.3274,1.02B,1019432714,0,0
0xcffad3200574698b78f32232aa9d63eabd290703,808307342.0,2024/02/01,1936269237.6329,153607560,808282462,24880,0
0x3bfc20f0b9afcace800d73d2191166ff16540258,693539008.0,2024/02/01,306276.6354,693538939,693539008,0,0
0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,572018271.0,2024/02/01,250000.0229,566067552,572018271,0,0
0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f,566852566.0,2024/02/01,250000.0005,566852501,566852566,0,0
0x539c92186f7c6cc4cbf443f26ef84c595babbca1,566772588.0,2024/02/01,250000.0096,566772522,566772588,0,0
0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f,566772561.0,2024/02/01,250000.0019,566772504,566772561,0,0
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,564388218.0,2024/02/01,243300.0035,551074508,564388218,0,0
0x9845e1909dca337944a0272f1f9f7249833d2d19,554249261.0,2024/02/01,244671.4,554249229,554249261,0,0
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,552617032.0,2024/02/01,244001.0224,552598875,552617032,0,0
0x176f3dab24a159341c0509bb36b833e7fdd0a132,514174966.0,2024/02/01,4624.5002,10471811,31578045,413981850,0
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,423956886.0,2024/02/01,187068.1958,423947040,423956886,0,0
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,383186568.0,2024/02/01,169032.0033,383176958,383186568,0,0
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,377349928.0,2024/02/01,162034.3431,367265422,377349928,0,0
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,340206760.0,2024/02/01,150038.0659,340074780,340206751,0,0
0xfd898a0f677e97a9031654fc79a27cb5e31da34a,340033805.0,2024/02/01,150000.1003,340033727,340033773,0,0
0x701c484bfb40ac628afa487b6082f084b14af0bd,339990047.0,2024/02/01,150000.0011,339990002,339990047,0,0
0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,339927045.0,2024/02/01,150000.0002,339927000,339927045,0,0
0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,339892545.0,2024/02/01,150000,339892500,339892545,0,0
0xb8cda067fabedd1bb6c11c626862d7255a2414fe,339757548.0,2024/02/01,150000.0014,339757503,339757548,0,0
0xb20411c403687d1036e05c8a7310a0f218429503,339712545.0,2024/02/01,150000.0002,339712500,339712545,0,0
0xb9fa6e54025b4f0829d8e1b42e8b846914659632,339712545.0,2024/02/01,150000,339712500,339712545,0,0
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,339709649.0,2024/02/01,150000.0001,339709500,339709649,0,0
0xba18ded5e0d604a86428282964ae0bb249ceb9d0,339709545.0,2024/02/01,150000.0001,339709500,339709545,0,0
0x8d95842b0bca501446683be598e12f1c616770c1,323832255.0,2024/02/01,143012.057,323832212,323832255,0,0
