Address,Wallet Total Value,Update Time,ETH Amount,ETH Value,Spot Value,Lido Value,DeFi Swap Value
0x8b209e5c5c9cd7452f3931def2202b25a8e37af0,2128334,2024/01/31,502.3839,1160115,2128334,0,0
0x8d7841bb4737afcaa7af30eeabbae953be0c9f0b,2108501,2024/01/31,912.9725,2108501,2108501,0,0
0x599ad3f92f76e859f7b7a87dbe3aacb81e54c6e6,2102257,2024/01/31,909.0682,2100329,2101111,0,0
0xf9c3c8f1e0e457c0cf6ed33ccc5fa2fda4f60910,2052653,2024/01/31,743.1151,1718424,2052653,0,0
0xc6339709cb26e8655595c2273886ec6a535511f2,2039365,2024/01/31,53.68,123942.85,150151,383385,0
0x2778420cfed7eaab1882085ef148f772f127d60a,2025250,2024/01/31,827.2704,1936160,2025250,0,0
0xb92db40e7e619386701bff921353647870ee405b,1893506,2024/01/31,825.5426,1893465,1893506,0,0
0x3ca842fee53fdd0ef1cf4ba838a3b3422964284c,1861430,2024/01/31,800.4654,1843328,1861430,0,0
0x964dc6ce8c35d93f9861e498898e76f27f2a882c,1811366,2024/01/31,527236.2332,527209.87,542246,0,0
0x3933115792498cccf2b604121a49ae9f4b630460,1782390,2024/01/31,774.8849,1782390,1782390,0,0
0x49f473460c13d94ebc05e34dfeb0e3692d8e42bc,1755729,2024/01/31,752.7326,1755711,1755729,0,0
0x82a55ae5811b9e3579a1252f3abb20677f7aa3e2,1755399,2024/01/31,614.178,1435592,1755399,0,0
0x99b9bdddd62549ad240009958eb4b35f2bfd1ea8,1749408,2024/01/31,534.3984,1250492,1749408,0,0
0x4a99c03abf4e3481dbe449abcde8b4045fd54512,1744072,2024/01/31,531.1568,1243072,1744072,0,0
0x12fd1ac6c2237776ab04bdcb3dbadf6dfbf7f1b6,1724110,2024/01/31,495.1466,1150721,1724110,0,0
0x270042a7623a90e6ebe6ae6e3263d61896b46906,1667851,2024/01/31,1558640.0047,236743.59,736639,0,0
0x325c85e274ff4997e5ec300c7178e1695419b211,1660123,2024/01/31,709.2117,1660123,1660123,0,0
0x197c92e5a3f7c40e657ff6e8277d45a87e76b072,1650224,2024/01/31,716.6919,1648291,1650224,0,0
0x4f0789cae0f9f1283579bf5c430f1bace00f6270,1648338,2024/01/31,1.5427,3602.53,3641,0,0
0xa0216ed2202459068a750bdf74063f677613da34,1637355,2024/01/31,498.0258,1156212,1637355,0,0
0x05f7758559f2a9715345a60d69ca70d620795f62,1623273,2024/01/31,100000,1577556,1623273,0,0
0x7ed6c14cc9691bd2608e04dee81e02a4efd1f4f9,1617857,2024/01/31,700.5804,1617857,1617857,0,0
0x5aa546baee80434fe6c9fa9dd7fc15f96e513dd6,1616923,2024/01/31,700.473,1616923,1616923,0,0
0x9ac49ef1601838a4d45bffcf03b32b106dcc5ac4,1613332,2024/01/31,702.53,1613332,1613332,0,0
0xcbfdffd7a2819a47fcd07dfa8bcb8a5deacc9ea8,1612706,2024/01/31,1.2287,2831.37,2980,0,0
0x26352d20e6a05e04a1ecc75d4a43ae9989272621,1577549,2024/01/31,1534729.5227,1533555,1577549,0,0
0x0cedd26dfbfde3ab7040f1e33c3f7fe8c9af7f91,1573266,2024/01/31,677.4749,1558423,1573266,0,0
0x14efa7a804b255f5232daf42b1dfbb877a87d296,1569618,2024/01/31,544.1599,1271016,1569618,0,0
0x5bcbdfb6cc624b959c39a2d16110d1f2d9204f72,1542289,2024/01/31,823991.7612,823237.81,1542289,0,0
0x56d822a2487e1023b33cb215810a83a5fb7607aa,1529259,2024/01/31,445.5369,1042784,1042784,486475,0
0x5676a46c822e57a93f87140758e895d5b067df8f,1514764,2024/01/31,655.8299,1514764,1514764,0,0
0xda406e9b8764ea34523f34b32e114d307fd7c7b6,1511587,2024/01/31,652.2327,1511569,1511587,0,0
